Crank Radius,Link Length,Offset,Theta Angle,Phi Angle,Link Normal Stress,Xs,Vs,As
124.500,127.000,2.000,15.000,15.253,0.203,247.123,-1274.386,522.917
124.500,127.000,2.000,30.000,27.766,0.222,234.567,-1268.058,517.742
124.500,127.000,2.000,45.000,37.301,0.247,214.680,-1218.585,477.282
124.500,127.000,2.000,60.000,43.597,0.271,188.817,-1129.338,404.295
124.500,127.000,2.000,75.000,47.023,0.288,158.741,-1006.400,303.756
124.500,127.000,2.000,90.000,48.090,0.294,126.501,-858.150,182.516
124.500,127.000,2.000,105.000,47.023,0.288,94.295,-694.689,48.840
124.500,127.000,2.000,120.000,43.597,0.271,64.317,-527.158,-88.162
124.500,127.000,2.000,135.000,37.301,0.247,38.610,-366.975,-219.156
124.500,127.000,2.000,150.000,27.766,0.222,18.927,-225.054,-335.213
124.500,127.000,2.000,165.000,15.253,0.203,6.607,-111.068,-428.425
124.500,127.000,2.000,180.000,0.902,0.196,2.492,-32.783,-492.442
124.500,127.000,2.000,195.000,-13.507,0.202,6.861,4.464,-522.901
124.500,127.000,2.000,210.000,-26.173,0.219,19.417,-1.864,-517.726
124.500,127.000,2.000,225.000,-35.913,0.242,39.303,-51.335,-477.272
124.500,127.000,2.000,240.000,-42.405,0.266,65.166,-140.579,-404.293
124.500,127.000,2.000,255.000,-45.969,0.282,95.242,-263.514,-303.762
124.500,127.000,2.000,270.000,-47.086,0.288,127.481,-411.763,-182.530
124.500,127.000,2.000,285.000,-45.969,0.282,159.688,-575.222,-48.857
124.500,127.000,2.000,300.000,-42.405,0.266,189.666,-742.753,88.147
124.500,127.000,2.000,315.000,-35.913,0.242,215.373,-902.938,219.145
124.500,127.000,2.000,330.000,-26.173,0.219,235.057,-1044.862,335.210
124.500,127.000,2.000,345.000,-13.507,0.202,247.377,-1158.851,428.431
124.500,127.000,2.000,360.000,0.902,0.196,251.492,-1237.137,492.455
,,,,,,,,
124.500,128.000,2.500,15.000,15.353,0.203,248.122,-1279.374,522.916
124.500,128.000,2.500,30.000,27.763,0.222,235.567,-1273.052,517.745
124.500,128.000,2.500,45.000,37.230,0.246,215.681,-1223.584,477.289
124.500,128.000,2.500,60.000,43.491,0.270,189.818,-1134.341,404.305
124.500,128.000,2.500,75.000,46.905,0.287,159.743,-1011.407,303.769
124.500,128.000,2.500,90.000,47.969,0.293,127.503,-863.159,182.532
124.500,128.000,2.500,105.000,46.905,0.287,95.297,-699.699,48.857
124.500,128.000,2.500,120.000,43.491,0.270,65.318,-532.169,-88.146
124.500,128.000,2.500,135.000,37.230,0.246,39.611,-371.983,-219.141
124.500,128.000,2.500,150.000,27.763,0.222,19.927,-230.060,-335.200
124.500,128.000,2.500,165.000,15.353,0.203,7.607,-116.070,-428.416
124.500,128.000,2.500,180.000,1.119,0.196,3.490,-37.781,-492.436
124.500,128.000,2.500,195.000,-13.185,0.202,7.858,-0.528,-522.899
124.500,128.000,2.500,210.000,-25.785,0.218,20.413,-6.851,-517.729
124.500,128.000,2.500,225.000,-35.501,0.241,40.299,-56.317,-477.278
124.500,128.000,2.500,240.000,-42.001,0.264,66.161,-145.557,-404.303
124.500,128.000,2.500,255.000,-45.584,0.280,96.236,-268.489,-303.775
124.500,128.000,2.500,270.000,-46.709,0.286,128.476,-416.735,-182.545
124.500,128.000,2.500,285.000,-45.584,0.280,160.682,-580.193,-48.873
124.500,128.000,2.500,300.000,-42.001,0.264,190.661,-747.724,88.131
124.500,128.000,2.500,315.000,-35.501,0.241,216.368,-907.911,219.130
124.500,128.000,2.500,330.000,-25.785,0.218,236.053,-1049.837,335.197
124.500,128.000,2.500,345.000,-13.185,0.202,248.374,-1163.830,428.422
124.500,128.000,2.500,360.000,1.119,0.196,252.490,-1242.121,492.449
,,,,,,,,
124.000,128.000,3.500,15.000,15.728,0.204,247.636,-1276.787,520.816
124.000,128.000,3.500,30.000,28.056,0.222,235.131,-1270.490,515.665
