Crank,Link,Offset,Return Ratio,Cross Sectional Area,Stroke
0.1245,0.1270,0.0020,1.8274,0.0936,0.2500
0.1240,0.1280,0.0035,2.0062,0.0932,0.2500
0.1245,0.1280,0.0025,1.6670,0.0939,0.2500
0.1240,0.1290,0.0040,1.8174,0.0935,0.2500
0.1230,0.1295,0.0060,2.1584,0.0924,0.2499
0.1245,0.1295,0.0030,1.5034,0.0942,0.2500
0.1235,0.1300,0.0055,1.9162,0.0931,0.2500
0.1240,0.1300,0.0045,1.7185,0.0937,0.2500
0.1230,0.1310,0.0070,1.9867,0.0927,0.2500
0.1235,0.1310,0.0060,1.8077,0.0933,0.2499
0.1240,0.1310,0.0050,1.6561,0.0940,0.2501
0.1230,0.1320,0.0075,1.8744,0.0930,0.2499
0.1235,0.1320,0.0065,1.7360,0.0936,0.2499
0.1210,0.1325,0.0110,2.2893,0.0906,0.2499
0.1240,0.1325,0.0055,1.5549,0.0943,0.2500
0.1225,0.1330,0.0090,1.9263,0.0926,0.2499
0.1235,0.1330,0.0070,1.6845,0.0938,0.2500
0.1215,0.1335,0.0110,2.1027,0.0914,0.2500
0.1240,0.1335,0.0060,1.5322,0.0946,0.2501
0.1200,0.1340,0.0135,2.3209,0.0897,0.2499
0.1220,0.1340,0.0105,1.9677,0.0922,0.2500
0.1235,0.1340,0.0075,1.6454,0.0941,0.2500
0.1210,0.1345,0.0125,2.1305,0.0910,0.2501
0.1215,0.1350,0.0120,2.0013,0.0918,0.2500
0.1230,0.1350,0.0090,1.6985,0.0937,0.2499
0.1190,0.1355,0.0160,2.3412,0.0888,0.2500
0.1235,0.1355,0.0080,1.5722,0.0944,0.2499
0.1200,0.1360,0.0150,2.1656,0.0901,0.2500
0.1230,0.1360,0.0095,1.6637,0.0939,0.2500
0.1220,0.1365,0.0120,1.8389,0.0928,0.2501
0.1235,0.1365,0.0085,1.5524,0.0947,0.2500
0.1180,0.1370,0.0185,2.3540,0.0879,0.2500
0.1230,0.1370,0.0100,1.6351,0.0942,0.2500
0.1190,0.1375,0.0175,2.1904,0.0892,0.2499
0.1200,0.1375,0.0160,2.0649,0.0905,0.2499
0.1215,0.1375,0.0135,1.8697,0.0924,0.2501
0.1220,0.1375,0.0125,1.7905,0.0930,0.2500
0.1205,0.1380,0.0155,1.9728,0.0912,0.2499
0.1230,0.1380,0.0105,1.6110,0.0944,0.2501
0.1235,0.1380,0.0090,1.5069,0.0951,0.2500
0.1170,0.1385,0.0210,2.3615,0.0870,0.2500
0.1185,0.1385,0.0190,2.2019,0.0888,0.2501
0.1195,0.1385,0.0175,2.0820,0.0901,0.2500
0.1210,0.1385,0.0150,1.8958,0.0920,0.2501
0.1215,0.1385,0.0140,1.8203,0.0926,0.2500
0.1220,0.1385,0.0130,1.7508,0.0933,0.2500
0.1200,0.1390,0.0170,1.9928,0.0908,0.2500
0.1205,0.1395,0.0165,1.9182,0.0916,0.2501
0.1210,0.1395,0.0155,1.8459,0.0922,0.2499
0.1215,0.1395,0.0145,1.7795,0.0928,0.2499
0.1220,0.1395,0.0135,1.7175,0.0935,0.2500
0.1230,0.1395,0.0110,1.5606,0.0948,0.2500
0.1160,0.1400,0.0235,2.3650,0.0861,0.2500
0.1175,0.1400,0.0215,2.2161,0.0879,0.2500
0.1195,0.1400,0.0185,2.0098,0.0904,0.2500
0.1225,0.1400,0.0125,1.6250,0.0943,0.2500
0.1200,0.1405,0.0180,1.9375,0.0912,0.2501
0.1205,0.1405,0.0170,1.8680,0.0918,0.2499
0.1215,0.1405,0.0150,1.7450,0.0931,0.2499
0.1220,0.1405,0.0140,1.6890,0.0937,0.2500
0.1230,0.1405,0.0115,1.5456,0.0950,0.2501
0.1180,0.1410,0.0215,2.1150,0.0888,0.2499
0.1190,0.1410,0.0200,2.0244,0.0900,0.2501
0.1225,0.1410,0.0130,1.6052,0.0945,0.2500
0.1230,0.1410,0.0115,1.5212,0.0951,0.2499
0.1150,0.1415,0.0260,2.3656,0.0851,0.2501
0.1195,0.1415,0.0195,1.9541,0.0908,0.2501
0.1215,0.1415,0.0155,1.7155,0.0933,0.2499
0.1220,0.1415,0.0145,1.6644,0.0940,0.2501
0.1175,0.1420,0.0230,2.1240,0.0884,0.2500
0.1225,0.1420,0.0135,1.5878,0.0947,0.2501
0.1230,0.1420,0.0120,1.5100,0.0954,0.2500
0.1160,0.1425,0.0255,2.2301,0.0866,0.2500
0.1215,0.1425,0.0160,1.6897,0.0936,0.2499
0.1140,0.1430,0.0285,2.3638,0.0842,0.2501
0.1200,0.1430,0.0195,1.8509,0.0917,0.2501
0.1205,0.1430,0.0185,1.7968,0.0924,0.2500
0.1210,0.1430,0.0175,1.7459,0.0930,0.2501
0.1215,0.1435,0.0165,1.6671,0.0938,0.2499
0.1225,0.1435,0.0140,1.5495,0.0951,0.2500
0.1150,0.1440,0.0280,2.2346,0.0857,0.2499
0.1195,0.1440,0.0210,1.8668,0.0913,0.2500
0.1200,0.1440,0.0200,1.8147,0.0920,0.2500
0.1205,0.1440,0.0190,1.7656,0.0926,0.2500
0.1210,0.1440,0.0180,1.7191,0.0933,0.2501
0.1220,0.1440,0.0155,1.5984,0.0946,0.2499
0.1130,0.1445,0.0310,2.3602,0.0833,0.2500
0.1160,0.1445,0.0270,2.1408,0.0870,0.2500
0.1170,0.1445,0.0255,2.0617,0.0883,0.2500
0.1215,0.1445,0.0170,1.6469,0.0940,0.2500
0.1225,0.1445,0.0145,1.5373,0.0953,0.2501
0.1145,0.1450,0.0295,2.2363,0.0853,0.2501
0.1190,0.1450,0.0225,1.8809,0.0909,0.2500
0.1195,0.1450,0.0215,1.8304,0.0916,0.2499
