Crank Radius,Link Length,Offset,Max Force,Max Torque,Max Velocity,Max Acceleration,Peak Power,Min Link Height,Min Link Width,Min Crank Height,Min Crank Width,Min Pin Diameter,Return Ratio,System Area,Stroke,System Weight,System Volume,Optimization Score
0.1115000000,0.1615000000,0.0460000000,17.6297670229,0.2033000877,0.3764619150,4.8466422573,0.6386860620,0.0030300000,0.0015150000,0.0023920000,0.0011960000,0.0006777500,1.9322066746,0.0848730500,0.2495007190,0.0028629192,0.0003315990,0.8816144749
0.1105000000,0.1640000000,0.0495000000,20.7858803095,0.2003418975,0.3689482607,4.8416700439,0.6293926335,0.0031820000,0.0015910000,0.0023660000,0.0011830000,0.0006935000,1.9343381975,0.0840905000,0.2497022169,0.0030767775,0.0003327461,0.8811155106
0.1105000000,0.1620000000,0.0480000000,24.9846940080,0.2006890980,0.3706118416,5.1545854285,0.6304833959,0.0033120000,0.0016560000,0.0023640000,0.0011820000,0.0007229000,1.9656355665,0.0837013556,0.2495777081,0.0032326594,0.0003364794,0.8808051966
0.1115000000,0.1635000000,0.0475000000,15.4574059314,0.2028861274,0.3746760909,4.5884179709,0.6373855672,0.0029500000,0.0014750000,0.0023940000,0.0011970000,0.0006680000,1.9042037460,0.0852677662,0.2497065606,0.0027835536,0.0003299010,0.8803393878
0.1105000000,0.1625000000,0.0485000000,25.1629121282,0.2005700836,0.3700943511,5.1627985871,0.6301095013,0.0033220000,0.0016610000,0.0023640000,0.0011820000,0.0007255000,1.9660198852,0.0837937654,0.2499023103,0.0032546171,0.0003372699,0.8802033267
0.1120000000,0.1570000000,0.0420000000,24.5736507384,0.2057299034,0.3836956843,5.5648377993,0.6463195531,0.0032460000,0.0016230000,0.0023980000,0.0011990000,0.0007170000,1.9994493433,0.0846050150,0.2495454653,0.0031026757,0.0003401968,0.8795338052
0.1105000000,0.1630000000,0.0490000000,25.3427279105,0.2004656529,0.3695826052,5.1709987068,0.6297814225,0.0033340000,0.0016670000,0.0023640000,0.0011820000,0.0007280000,1.9663748939,0.0838860316,0.2502267269,0.0032796420,0.0003381446,0.8794812764
0.1120000000,0.1590000000,0.0435000000,20.3452982299,0.2051802068,0.3815424053,5.1742411786,0.6445926302,0.0031160000,0.0015580000,0.0023980000,0.0011990000,0.0006892500,1.9632511731,0.0850048597,0.2496885092,0.0029535958,0.0003362792,0.8794458034
0.1120000000,0.1605000000,0.0445000000,17.3362622416,0.2048173718,0.3801565794,4.8526767296,0.6434527506,0.0030080000,0.0015040000,0.0024000000,0.0012000000,0.0006760000,1.9308407974,0.0853085993,0.2495546595,0.0028314013,0.0003330448,0.8790789243
0.1110000000,0.1645000000,0.0490000000,17.4764265565,0.2014736423,0.3712223809,4.5824050026,0.6329481145,0.0030520000,0.0015260000,0.0023760000,0.0011880000,0.0006785000,1.9052661737,0.0848278541,0.2496307194,0.0029145225,0.0003309983,0.8789246063
0.1120000000,0.1595000000,0.0440000000,20.4747333473,0.2050206123,0.3809294383,5.1826463372,0.6440912495,0.0031260000,0.0015630000,0.0023980000,0.0011990000,0.0006905000,1.9639624281,0.0851000415,0.2500153692,0.0029735903,0.0003370813,0.8789066840
0.1110000000,0.1630000000,0.0480000000,20.4106007877,0.2017253319,0.3723824945,4.8481422448,0.6337388208,0.0031580000,0.0015790000,0.0023740000,0.0011870000,0.0006915000,1.9337667313,0.0845293547,0.2497628588,0.0030390867,0.0003341445,0.8789057335
